#          time         x_star         y_star           x_p1           y_p1           x_p2           y_p2           x_p3           y_p3           x_p4           y_p4 
      0.788462    -0.00455079     0.00515101        1.32955       -1.50134        0.63672      -0.757803       0.328039      -0.383867      0.0371987      -0.213268 
      0.807692     -0.0046837     0.00503292        1.36429       -1.47018       0.685898      -0.713462       0.393617      -0.318788       0.157688      -0.159426 
      0.826923    -0.00481069     0.00490888        1.39829       -1.43822       0.732029      -0.665951       0.446346       -0.24326       0.224705     -0.0503278 
      0.846154    -0.00493089     0.00478048        1.43154       -1.40549       0.774907      -0.615481       0.484653      -0.159796       0.219674       0.076345 
      0.865385    -0.00504415     0.00464942        1.46401         -1.372       0.814343      -0.562275       0.507451     -0.0711189         0.1439       0.180154 
      0.884615    -0.00515104     0.00451732         1.4957       -1.33778       0.850159      -0.506569        0.51416      0.0199367      0.0186696        0.22439 
      0.903846    -0.00525287     0.00438531        1.52657       -1.30283       0.882197      -0.448611       0.504701       0.110511      -0.114223       0.186242 
      0.923077    -0.00535141     0.00425353        1.55663       -1.26718       0.910314      -0.388656       0.479486       0.197804      -0.200595      0.0727671 
      0.942308    -0.00544803     0.00412085        1.58585       -1.23084       0.934385      -0.326972       0.439391       0.279155      -0.200114     -0.0708531 
      0.961538    -0.00554272     0.00398555        1.61422       -1.19385       0.954303      -0.263832       0.385717       0.352106      -0.114613      -0.182614 
      0.980769    -0.00563425     0.00384655        1.64172       -1.15621       0.969981      -0.199515       0.320149       0.414471      0.0153448      -0.220918 
             1    -0.00572106     0.00370396        1.66833       -1.11795       0.981348      -0.134307       0.244702       0.464379       0.138953      -0.179483 
       1.01923      -0.005802     0.00355868        1.69405       -1.07909       0.988356     -0.0684973       0.161671       0.500328       0.216159     -0.0783523 
       1.03846     -0.0058765     0.00341209        1.71886       -1.03965       0.990973    -0.00237613      0.0735668       0.521215        0.22407      0.0483982 
       1.05769    -0.00594464      0.0032657        1.74275      -0.999654       0.989189      0.0637634     -0.0169469       0.526369       0.158351       0.160241 
       1.07692    -0.00600723       0.003121         1.7657      -0.959119       0.983012       0.129629       -0.10712        0.51557      0.0361285       0.216699 
       1.09615    -0.00606589     0.00297902        1.78771       -0.91807       0.972471       0.194929      -0.194189       0.489064      -0.101234       0.189641 
       1.11538    -0.00612276     0.00283967        1.80875      -0.876529       0.957614       0.259375       -0.27545       0.447566      -0.196782      0.0826923 
       1.13462    -0.00617949     0.00270147        1.82883      -0.834518       0.938506       0.322684      -0.348337       0.392249      -0.207445     -0.0599325 
       1.15385    -0.00623632     0.00256235        1.84793      -0.792059       0.915234       0.384575      -0.410499       0.324729      -0.132488      -0.177061 
       1.17308    -0.00629224      0.0024208        1.86603      -0.749177       0.887901       0.444775      -0.459877       0.247028     -0.0083368       -0.22644 
       1.19231     -0.0063458     0.00227634        1.88314      -0.705893       0.856628       0.503021      -0.494779       0.161526       0.117432      -0.197659 
       1.21154    -0.00639577     0.00212932        1.89925      -0.662232       0.821555       0.559054       -0.51395      0.0708997       0.204233      -0.105189 
       1.23077    -0.00644132     0.00198054        1.91433      -0.618216       0.782836       0.612629      -0.516628     -0.0219568       0.225043      0.0207404 
          1.25    -0.00648213     0.00183117        1.92839       -0.57387       0.740643       0.663509      -0.502587      -0.114025       0.169897       0.139829 
       1.26923    -0.00651861     0.00168249        1.94143      -0.529217       0.695162       0.711471      -0.472166      -0.202265      0.0516358       0.208061 
       1.28846    -0.00655202      0.0015354        1.95342      -0.484282       0.646594       0.756303      -0.426271      -0.283726     -0.0889726       0.192251 
       1.30769     -0.0065842     0.00138972        1.96437      -0.439088       0.595153       0.797809      -0.366358      -0.355658      -0.192754       0.092833 
       1.32692    -0.00661647      0.0012439        1.97428       -0.39366       0.541066       0.835806      -0.294384      -0.415621      -0.214556     -0.0474437 
       1.34615    -0.00664873     0.00109585        1.98313      -0.348021       0.484572       0.870127      -0.212744      -0.461584       -0.15087      -0.168997 
       1.36538    -0.00667966    0.000944079        1.99092      -0.302197       0.425918       0.900619      -0.124178      -0.492004     -0.0334922      -0.229081 
       1.38462    -0.00670751    0.000788115        1.99765      -0.256213       0.365363        0.92715     -0.0316661      -0.505889      0.0934906      -0.213136 
       1.40385    -0.00673064    0.000628307        2.00332      -0.210091       0.303174       0.949601      0.0616867      -0.502831       0.189234      -0.130021 
       1.42308    -0.00674774    0.000465641        2.00792      -0.163858       0.239623       0.967874        0.15277      -0.483018       0.222838    -0.00588342 
       1.44231    -0.00675801    0.000301609        2.01146      -0.117537       0.174991       0.981888       0.238584      -0.447209        0.17874       0.119534 
       1.46154    -0.00676149    0.000138009        2.01392     -0.0711544       0.109562       0.991579       0.316349        -0.3967      0.0654076       0.198938 
       1.48077    -0.00675932   -2.36301e-05        2.01531     -0.0247336      0.0436239       0.996904       0.383596      -0.333261     -0.0771579       0.194424 
           1.5    -0.00675333   -0.000182923        2.01563      0.0217004     -0.0225336       0.997839       0.438247      -0.259055      -0.188174       0.103474 
       1.51923    -0.00674497   -0.000340898        2.01488      0.0681227      -0.088619       0.994378       0.478666      -0.176561      -0.220999     -0.0331665 
       1.53846    -0.00673437   -0.000499115        2.01306       0.114509      -0.154341       0.986535       0.503703     -0.0884741      -0.169144      -0.158161 
       1.55769    -0.00672062    -0.00065865        2.01018       0.160834      -0.219411       0.974344       0.512706     0.00238254      -0.059414      -0.228445 
       1.57692    -0.00670241   -0.000819763        2.00622       0.207074       -0.28354       0.957855       0.505532      0.0931493      0.0678454      -0.225389 
       1.59615    -0.00667846   -0.000981994         2.0012       0.253204      -0.346448       0.937141       0.482525       0.181015       0.171844      -0.152218 
       1.61538    -0.00664774    -0.00114428        1.99512         0.2992      -0.407854       0.912291       0.444499       0.263294       0.218045     -0.0307686 
       1.63462    -0.00660972      -0.001305        1.98798       0.345037       -0.46749       0.883412       0.392699       0.337499       0.185335        0.10004 
       1.65385    -0.00656476    -0.00146219        1.97979       0.390692      -0.525089       0.850631       0.328759       0.401401      0.0778386       0.189878 
       1.67308     -0.0065144     -0.0016142        1.97055       0.436139      -0.580399       0.814089       0.254653       0.453085     -0.0653176       0.196615 
       1.69231    -0.00646098    -0.00176065        1.96027       0.481356      -0.633172       0.773947       0.172638       0.490995      -0.182485       0.115064 
       1.71154    -0.00640638    -0.00190262        1.94895       0.526317      -0.683176       0.730379      0.0852002       0.513972      -0.226114     -0.0166506 
       1.73077    -0.00635124    -0.00204181         1.9366       0.571001      -0.730189       0.683577    -0.00501498       0.521285      -0.186527      -0.144055 
          1.75    -0.00629517    -0.00217957        1.92322       0.615382         -0.774       0.633746     -0.0952661       0.512651     -0.0852411      -0.223953 
       1.76923    -0.00623728    -0.00231664        1.90883       0.659438      -0.814416       0.581104      -0.182788       0.488252      0.0413733      -0.233756 
